spec_id,fold_id,encoded_atoms_before_support,registered_literals_before_support,support_eligible_literals,selected_clauses,complexity,not_selected_reason_counts
JX__GREEDY_OR,LOEO-v1-03,180,360,219,1,2,"{""INSUFFICIENT_TRAIN_SUPPORT"": 141, ""SET_CLEAN_BUDGET"": 202, ""FINAL_SET_CONSTRAINT"": 202, ""NO_POSITIVE_SPARSE_OBJECTIVE_GAIN"": 218}"
W_X__GREEDY_OR,LOEO-v1-01,50,100,70,6,12,"{""STRUCTURE_OR_FAMILY_LIMIT"": 64, ""SET_CLEAN_BUDGET"": 52, ""FINAL_SET_CONSTRAINT"": 64, ""INSUFFICIENT_TRAIN_SUPPORT"": 30, ""NO_POSITIVE_SPARSE_OBJECTIVE_GAIN"": 8}"
W_X__GREEDY_OR,LOEO-v1-02,50,100,71,6,12,"{""STRUCTURE_OR_FAMILY_LIMIT"": 65, ""SET_CLEAN_BUDGET"": 53, ""FINAL_SET_CONSTRAINT"": 65, ""INSUFFICIENT_TRAIN_SUPPORT"": 29, ""NO_POSITIVE_SPARSE_OBJECTIVE_GAIN"": 9}"
W_X__GREEDY_OR,LOEO-v1-03,57,114,75,1,2,"{""SET_CLEAN_BUDGET"": 63, ""FINAL_SET_CONSTRAINT"": 63, ""NO_POSITIVE_SPARSE_OBJECTIVE_GAIN"": 74, ""INSUFFICIENT_TRAIN_SUPPORT"": 39}"
S_FLAT_X__GREEDY_OR,LOEO-v1-01,154,308,186,6,12,"{""INSUFFICIENT_TRAIN_SUPPORT"": 122, ""STRUCTURE_OR_FAMILY_LIMIT"": 180, ""SET_CLEAN_BUDGET"": 168, ""FINAL_SET_CONSTRAINT"": 180, ""NO_POSITIVE_SPARSE_OBJECTIVE_GAIN"": 17}"
S_FLAT_X__GREEDY_OR,LOEO-v1-02,154,308,187,6,12,"{""INSUFFICIENT_TRAIN_SUPPORT"": 121, ""STRUCTURE_OR_FAMILY_LIMIT"": 181, ""SET_CLEAN_BUDGET"": 169, ""FINAL_SET_CONSTRAINT"": 181, ""NO_POSITIVE_SPARSE_OBJECTIVE_GAIN"": 18}"
S_FLAT_X__GREEDY_OR,LOEO-v1-03,166,332,200,1,2,"{""INSUFFICIENT_TRAIN_SUPPORT"": 132, ""SET_CLEAN_BUDGET"": 188, ""FINAL_SET_CONSTRAINT"": 188, ""NO_POSITIVE_SPARSE_OBJECTIVE_GAIN"": 199}"
CX__R_KEEP_V1,LOEO-v1-01,15,30,22,4,8,"{""SET_CLEAN_BUDGET"": 15, ""INSUFFICIENT_TRAIN_SUPPORT"": 8, ""STRUCTURE_OR_FAMILY_LIMIT"": 4, ""NO_NEW_SIGNAL_COVERAGE"": 3}"
CX__R_KEEP_V1,LOEO-v1-02,16,32,24,3,6,"{""SET_CLEAN_BUDGET"": 18, ""INSUFFICIENT_TRAIN_SUPPORT"": 8, ""STRUCTURE_OR_FAMILY_LIMIT"": 3, ""NO_NEW_SIGNAL_COVERAGE"": 3}"
CX__R_KEEP_V1,LOEO-v1-03,15,30,20,2,4,"{""SET_CLEAN_BUDGET"": 15, ""INSUFFICIENT_TRAIN_SUPPORT"": 10, ""STRUCTURE_OR_FAMILY_LIMIT"": 2, ""NO_NEW_SIGNAL_COVERAGE"": 3}"
JX__R_KEEP_V1,LOEO-v1-01,168,336,206,6,12,"{""INSUFFICIENT_TRAIN_SUPPORT"": 130, ""STRUCTURE_OR_FAMILY_LIMIT"": 200, ""SET_CLEAN_BUDGET"": 182, ""NO_NEW_SIGNAL_COVERAGE"": 12}"
JX__R_KEEP_V1,LOEO-v1-02,169,338,209,6,12,"{""INSUFFICIENT_TRAIN_SUPPORT"": 129, ""STRUCTURE_OR_FAMILY_LIMIT"": 203, ""SET_CLEAN_BUDGET"": 186, ""NO_NEW_SIGNAL_COVERAGE"": 11}"
JX__R_KEEP_V1,LOEO-v1-03,180,360,219,6,12,"{""INSUFFICIENT_TRAIN_SUPPORT"": 141, ""STRUCTURE_OR_FAMILY_LIMIT"": 213, ""SET_CLEAN_BUDGET"": 202, ""NO_NEW_SIGNAL_COVERAGE"": 12}"
W_X__R_KEEP_V1,LOEO-v1-01,50,100,70,6,12,"{""STRUCTURE_OR_FAMILY_LIMIT"": 64, ""SET_CLEAN_BUDGET"": 52, ""INSUFFICIENT_TRAIN_SUPPORT"": 30, ""NO_NEW_SIGNAL_COVERAGE"": 6}"
W_X__R_KEEP_V1,LOEO-v1-02,50,100,71,6,12,"{""STRUCTURE_OR_FAMILY_LIMIT"": 65, ""SET_CLEAN_BUDGET"": 53, ""INSUFFICIENT_TRAIN_SUPPORT"": 29, ""NO_NEW_SIGNAL_COVERAGE"": 6}"
W_X__R_KEEP_V1,LOEO-v1-03,57,114,75,6,12,"{""STRUCTURE_OR_FAMILY_LIMIT"": 69, ""SET_CLEAN_BUDGET"": 63, ""INSUFFICIENT_TRAIN_SUPPORT"": 39, ""NO_NEW_SIGNAL_COVERAGE"": 7}"
S_FLAT_X__R_KEEP_V1,LOEO-v1-01,154,308,186,6,12,"{""INSUFFICIENT_TRAIN_SUPPORT"": 122, ""STRUCTURE_OR_FAMILY_LIMIT"": 180, ""SET_CLEAN_BUDGET"": 168, ""NO_NEW_SIGNAL_COVERAGE"": 6}"
S_FLAT_X__R_KEEP_V1,LOEO-v1-02,154,308,187,6,12,"{""INSUFFICIENT_TRAIN_SUPPORT"": 121, ""STRUCTURE_OR_FAMILY_LIMIT"": 181, ""SET_CLEAN_BUDGET"": 169, ""NO_NEW_SIGNAL_COVERAGE"": 6}"
S_FLAT_X__R_KEEP_V1,LOEO-v1-03,166,332,200,6,12,"{""INSUFFICIENT_TRAIN_SUPPORT"": 132, ""STRUCTURE_OR_FAMILY_LIMIT"": 194, ""SET_CLEAN_BUDGET"": 188, ""NO_NEW_SIGNAL_COVERAGE"": 7}"
CX_MEMORY_ONLY__GREEDY_OR,LOEO-v1-01,12,24,17,2,4,"{""SET_CLEAN_BUDGET"": 12, ""FINAL_SET_CONSTRAINT"": 12, ""INSUFFICIENT_TRAIN_SUPPORT"": 7, ""STRUCTURE_OR_FAMILY_LIMIT"": 2, ""NO_POSITIVE_SPARSE_OBJECTIVE_GAIN"": 3}"
CX_MEMORY_ONLY__GREEDY_OR,LOEO-v1-02,13,26,19,1,2,"{""SET_CLEAN_BUDGET"": 15, ""FINAL_SET_CONSTRAINT"": 15, ""INSUFFICIENT_TRAIN_SUPPORT"": 7, ""STRUCTURE_OR_FAMILY_LIMIT"": 1, ""NO_POSITIVE_SPARSE_OBJECTIVE_GAIN"": 3}"
CX_MEMORY_ONLY__GREEDY_OR,LOEO-v1-03,12,24,17,1,2,"{""SET_CLEAN_BUDGET"": 12, ""FINAL_SET_CONSTRAINT"": 12, ""INSUFFICIENT_TRAIN_SUPPORT"": 7, ""STRUCTURE_OR_FAMILY_LIMIT"": 1, ""NO_POSITIVE_SPARSE_OBJECTIVE_GAIN"": 4}"
CX_NO_MEMORY__GREEDY_OR,LOEO-v1-01,13,26,18,3,6,"{""SET_CLEAN_BUDGET"": 12, ""FINAL_SET_CONSTRAINT"": 12, ""INSUFFICIENT_TRAIN_SUPPORT"": 8, ""STRUCTURE_OR_FAMILY_LIMIT"": 3, ""NO_POSITIVE_SPARSE_OBJECTIVE_GAIN"": 3}"
CX_NO_MEMORY__GREEDY_OR,LOEO-v1-02,13,26,18,3,6,"{""SET_CLEAN_BUDGET"": 12, ""FINAL_SET_CONSTRAINT"": 12, ""INSUFFICIENT_TRAIN_SUPPORT"": 8, ""STRUCTURE_OR_FAMILY_LIMIT"": 3, ""NO_POSITIVE_SPARSE_OBJECTIVE_GAIN"": 3}"
CX_NO_MEMORY__GREEDY_OR,LOEO-v1-03,13,26,16,1,2,"{""SET_CLEAN_BUDGET"": 12, ""FINAL_SET_CONSTRAINT"": 12, ""INSUFFICIENT_TRAIN_SUPPORT"": 10, ""STRUCTURE_OR_FAMILY_LIMIT"": 1, ""NO_POSITIVE_SPARSE_OBJECTIVE_GAIN"": 3}"
