model_unit_id,fit_job_id,fold_id,method_id,operating_point,source_condition,input_view,evaluation_track,protocol_digest,model_id,train_membership_ref,train_membership_digest,fit_status,model_status,train_n,clean_n,alpha,clean_budget,clean_alerts,phase_decision_coverage,complexity,complexity_limit,clauses,constraints_satisfied,solver,best_bound,gap,fit_seconds,rule_ids,evidence
R05_PRIMARY__LOEO-v1-01__FINITE_IP_DNF2__OP10__SRC-111__core,R05_PRIMARY__LOEO-v1-01__FINITE_IP_DNF2__OP10__SRC-111__core,LOEO-v1-01,FINITE_IP_DNF2,OP10,SRC-111,core,LOEO-v1,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,r03-ea51a5b4eba2f9cd5eefe461,expected_model_units.jsonl#R05_PRIMARY__LOEO-v1-01__FINITE_IP_DNF2__OP10__SRC-111__core,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,OPTIMAL_FINITE_POOL,FITTED,135,90,0.1,9,0,"{""attack"": 1.0, ""clean_post"": 1.0, ""clean_pre"": 1.0}",2,18,1,True,HiGHS,0.37461538461538463,0.0,0.38815679191611707,"[""DEVIATION:OFFDER-UA-001:POSITIVE""]",ARITHMETIC_OVER_SAVED_TRAIN_STATES_NO_INFERENCE
R05_PRIMARY__LOEO-v1-01__FINITE_IP_OR__OP00__SRC-111__core,R05_PRIMARY__LOEO-v1-01__FINITE_IP_OR__OP00__SRC-111__core,LOEO-v1-01,FINITE_IP_OR,OP00,SRC-111,core,LOEO-v1,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,r03-00c7a1594f179aa90447d5f6,expected_model_units.jsonl#R05_PRIMARY__LOEO-v1-01__FINITE_IP_OR__OP00__SRC-111__core,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,OPTIMAL_FINITE_POOL,FITTED,135,90,0.0,0,0,"{""attack"": 1.0, ""clean_post"": 1.0, ""clean_pre"": 1.0}",2,12,1,True,HiGHS,0.37461538461538463,0.0,0.05902549996972084,"[""DEVIATION:OFFDER-UA-001:POSITIVE""]",ARITHMETIC_OVER_SAVED_TRAIN_STATES_NO_INFERENCE
R05_PRIMARY__LOEO-v1-01__FINITE_IP_OR__OP10__SRC-111__core,R05_PRIMARY__LOEO-v1-01__FINITE_IP_OR__OP10__SRC-111__core,LOEO-v1-01,FINITE_IP_OR,OP10,SRC-111,core,LOEO-v1,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,r03-1dc67f7ec905c30808fc5a06,expected_model_units.jsonl#R05_PRIMARY__LOEO-v1-01__FINITE_IP_OR__OP10__SRC-111__core,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,OPTIMAL_FINITE_POOL,FITTED,135,90,0.1,9,0,"{""attack"": 1.0, ""clean_post"": 1.0, ""clean_pre"": 1.0}",2,12,1,True,HiGHS,0.37461538461538463,0.0,0.06868441705591977,"[""DEVIATION:OFFDER-UA-001:POSITIVE""]",ARITHMETIC_OVER_SAVED_TRAIN_STATES_NO_INFERENCE
R05_PRIMARY__LOEO-v1-01__GREEDY_OR__OP00__SRC-111__core,R05_PRIMARY__LOEO-v1-01__GREEDY_OR__OP00__SRC-111__core,LOEO-v1-01,GREEDY_OR,OP00,SRC-111,core,LOEO-v1,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,r03-c27daf4a1d3d004b7f12013d,expected_model_units.jsonl#R05_PRIMARY__LOEO-v1-01__GREEDY_OR__OP00__SRC-111__core,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,HEURISTIC_FEASIBLE,FITTED,135,90,0.0,0,0,"{""attack"": 1.0, ""clean_post"": 1.0, ""clean_pre"": 1.0}",2,12,1,True,R03_DETERMINISTIC_GREEDY_V1,,,0.015701500000432134,"[""DEVIATION:OFFDER-UA-001:POSITIVE""]",ARITHMETIC_OVER_SAVED_TRAIN_STATES_NO_INFERENCE
R05_PRIMARY__LOEO-v1-01__GREEDY_OR__OP10__SRC-111__core,R05_PRIMARY__LOEO-v1-01__GREEDY_OR__OP10__SRC-111__core,LOEO-v1-01,GREEDY_OR,OP10,SRC-111,core,LOEO-v1,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,r03-8c7ca4cdc053607eacb84ac4,expected_model_units.jsonl#R05_PRIMARY__LOEO-v1-01__GREEDY_OR__OP10__SRC-111__core,b9cc9b0905b7ca12bc8b4e29a9012d12a01f9b748ff4958553c227aefa4d8e23,HEURISTIC_FEASIBLE,FITTED,135,90,0.1,9,0,"{""attack"": 1.0, ""clean_post"": 1.0, ""clean_pre"": 1.0}",2,12,1,True,R03_DETERMINISTIC_GREEDY_V1,,,0.015996249858289957,"[""DEVIATION:OFFDER-UA-001:POSITIVE""]",ARITHMETIC_OVER_SAVED_TRAIN_STATES_NO_INFERENCE
R05_PRIMARY__LOEO-v1-02__FINITE_IP_DNF2__OP00__SRC-111__core,R05_PRIMARY__LOEO-v1-02__FINITE_IP_DNF2__OP00__SRC-111__core,LOEO-v1-02,FINITE_IP_DNF2,OP00,SRC-111,core,LOEO-v1,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,r03-8b0efb5021e07508f27330f1,expected_model_units.jsonl#R05_PRIMARY__LOEO-v1-02__FINITE_IP_DNF2__OP00__SRC-111__core,91ca3c81351a9f36d1217438d95d06b37fb0eb59fa13fdb6acdf12168cd51e0c,OPTIMAL_FINITE_POOL,FITTED,144,96,0.0,0,0,"{""attack"": 1.0, ""clean_post"": 1.0, ""clean_pre"": 1.0}",2,18,1,True,HiGHS,0.4185714285714286,0.0,0.38616258301772177,"[""DEVIATION:OFFDER-UA-001:POSITIVE""]",ARITHMETIC_OVER_SAVED_TRAIN_STATES_NO_INFERENCE
R05_PRIMARY__LOEO-v1-02__FINITE_IP_DNF2__OP10__SRC-111__core,R05_PRIMARY__LOEO-v1-02__FINITE_IP_DNF2__OP10__SRC-111__core,LOEO-v1-02,FINITE_IP_DNF2,OP10,SRC-111,core,LOEO-v1,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,r03-a4eb2c999e715bef205cbc7d,expected_model_units.jsonl#R05_PRIMARY__LOEO-v1-02__FINITE_IP_DNF2__OP10__SRC-111__core,91ca3c81351a9f36d1217438d95d06b37fb0eb59fa13fdb6acdf12168cd51e0c,OPTIMAL_FINITE_POOL,FITTED,144,96,0.1,9,0,"{""attack"": 1.0, ""clean_post"": 1.0, ""clean_pre"": 1.0}",2,18,1,True,HiGHS,0.4185714285714286,0.0,0.44218816608190536,"[""DEVIATION:OFFDER-UA-001:POSITIVE""]",ARITHMETIC_OVER_SAVED_TRAIN_STATES_NO_INFERENCE
R05_PRIMARY__LOEO-v1-02__FINITE_IP_OR__OP00__SRC-111__core,R05_PRIMARY__LOEO-v1-02__FINITE_IP_OR__OP00__SRC-111__core,LOEO-v1-02,FINITE_IP_OR,OP00,SRC-111,core,LOEO-v1,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,r03-a0734ef330e92f057fb81ba9,expected_model_units.jsonl#R05_PRIMARY__LOEO-v1-02__FINITE_IP_OR__OP00__SRC-111__core,91ca3c81351a9f36d1217438d95d06b37fb0eb59fa13fdb6acdf12168cd51e0c,OPTIMAL_FINITE_POOL,FITTED,144,96,0.0,0,0,"{""attack"": 1.0, ""clean_post"": 1.0, ""clean_pre"": 1.0}",2,12,1,True,HiGHS,0.4185714285714286,0.0,0.08025066694244742,"[""DEVIATION:OFFDER-UA-001:POSITIVE""]",ARITHMETIC_OVER_SAVED_TRAIN_STATES_NO_INFERENCE
R05_PRIMARY__LOEO-v1-02__FINITE_IP_OR__OP10__SRC-111__core,R05_PRIMARY__LOEO-v1-02__FINITE_IP_OR__OP10__SRC-111__core,LOEO-v1-02,FINITE_IP_OR,OP10,SRC-111,core,LOEO-v1,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,r03-da3b0ac6fda478b8a0f4c62c,expected_model_units.jsonl#R05_PRIMARY__LOEO-v1-02__FINITE_IP_OR__OP10__SRC-111__core,91ca3c81351a9f36d1217438d95d06b37fb0eb59fa13fdb6acdf12168cd51e0c,OPTIMAL_FINITE_POOL,FITTED,144,96,0.1,9,0,"{""attack"": 1.0, ""clean_post"": 1.0, ""clean_pre"": 1.0}",2,12,1,True,HiGHS,0.4185714285714286,0.0,0.07463337504304945,"[""DEVIATION:OFFDER-UA-001:POSITIVE""]",ARITHMETIC_OVER_SAVED_TRAIN_STATES_NO_INFERENCE
R05_PRIMARY__LOEO-v1-02__GREEDY_OR__OP00__SRC-111__core,R05_PRIMARY__LOEO-v1-02__GREEDY_OR__OP00__SRC-111__core,LOEO-v1-02,GREEDY_OR,OP00,SRC-111,core,LOEO-v1,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,r03-8dbfa5a30400c22d0739dd8d,expected_model_units.jsonl#R05_PRIMARY__LOEO-v1-02__GREEDY_OR__OP00__SRC-111__core,91ca3c81351a9f36d1217438d95d06b37fb0eb59fa13fdb6acdf12168cd51e0c,HEURISTIC_FEASIBLE,FITTED,144,96,0.0,0,0,"{""attack"": 1.0, ""clean_post"": 1.0, ""clean_pre"": 1.0}",2,12,1,True,R03_DETERMINISTIC_GREEDY_V1,,,0.017283541848883033,"[""DEVIATION:OFFDER-UA-001:POSITIVE""]",ARITHMETIC_OVER_SAVED_TRAIN_STATES_NO_INFERENCE
R05_PRIMARY__LOEO-v1-02__GREEDY_OR__OP10__SRC-111__core,R05_PRIMARY__LOEO-v1-02__GREEDY_OR__OP10__SRC-111__core,LOEO-v1-02,GREEDY_OR,OP10,SRC-111,core,LOEO-v1,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,r03-6a77303e335d0b63d533faff,expected_model_units.jsonl#R05_PRIMARY__LOEO-v1-02__GREEDY_OR__OP10__SRC-111__core,91ca3c81351a9f36d1217438d95d06b37fb0eb59fa13fdb6acdf12168cd51e0c,HEURISTIC_FEASIBLE,FITTED,144,96,0.1,9,0,"{""attack"": 1.0, ""clean_post"": 1.0, ""clean_pre"": 1.0}",2,12,1,True,R03_DETERMINISTIC_GREEDY_V1,,,0.01655691582709551,"[""DEVIATION:OFFDER-UA-001:POSITIVE""]",ARITHMETIC_OVER_SAVED_TRAIN_STATES_NO_INFERENCE
R05_PRIMARY__LOEO-v1-03__FINITE_IP_DNF2__OP00__SRC-111__core,R05_PRIMARY__LOEO-v1-03__FINITE_IP_DNF2__OP00__SRC-111__core,LOEO-v1-03,FINITE_IP_DNF2,OP00,SRC-111,core,LOEO-v1,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,r03-82a1afc782d1cb4cc8cd0459,expected_model_units.jsonl#R05_PRIMARY__LOEO-v1-03__FINITE_IP_DNF2__OP00__SRC-111__core,53001f6db1116d9edc3d72c84ccddf9324e6ca9ad5fab0ae57d017e772f7b27e,OPTIMAL_FINITE_POOL,FITTED,45,30,0.0,0,0,"{""attack"": 1.0, ""clean_post"": 1.0, ""clean_pre"": 1.0}",2,18,1,True,HiGHS,0.6566666666666666,0.0,0.13184633292257786,"[""DEVIATION:OFFDER-UA-001:POSITIVE""]",ARITHMETIC_OVER_SAVED_TRAIN_STATES_NO_INFERENCE
R05_PRIMARY__LOEO-v1-03__FINITE_IP_DNF2__OP10__SRC-111__core,R05_PRIMARY__LOEO-v1-03__FINITE_IP_DNF2__OP10__SRC-111__core,LOEO-v1-03,FINITE_IP_DNF2,OP10,SRC-111,core,LOEO-v1,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,r03-c5f357250a9c69750dccdffb,expected_model_units.jsonl#R05_PRIMARY__LOEO-v1-03__FINITE_IP_DNF2__OP10__SRC-111__core,53001f6db1116d9edc3d72c84ccddf9324e6ca9ad5fab0ae57d017e772f7b27e,OPTIMAL_FINITE_POOL,FITTED,45,30,0.1,3,0,"{""attack"": 1.0, ""clean_post"": 1.0, ""clean_pre"": 1.0}",2,18,1,True,HiGHS,0.6566666666666666,0.0,0.14615245908498764,"[""DEVIATION:OFFDER-UA-001:POSITIVE""]",ARITHMETIC_OVER_SAVED_TRAIN_STATES_NO_INFERENCE
R05_PRIMARY__LOEO-v1-03__FINITE_IP_OR__OP00__SRC-111__core,R05_PRIMARY__LOEO-v1-03__FINITE_IP_OR__OP00__SRC-111__core,LOEO-v1-03,FINITE_IP_OR,OP00,SRC-111,core,LOEO-v1,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,r03-f1c3edd1371e31b3a9a6ec6d,expected_model_units.jsonl#R05_PRIMARY__LOEO-v1-03__FINITE_IP_OR__OP00__SRC-111__core,53001f6db1116d9edc3d72c84ccddf9324e6ca9ad5fab0ae57d017e772f7b27e,OPTIMAL_FINITE_POOL,FITTED,45,30,0.0,0,0,"{""attack"": 1.0, ""clean_post"": 1.0, ""clean_pre"": 1.0}",2,12,1,True,HiGHS,0.6566666666666666,0.0,0.024286207975819707,"[""DEVIATION:OFFDER-UA-001:POSITIVE""]",ARITHMETIC_OVER_SAVED_TRAIN_STATES_NO_INFERENCE
R05_PRIMARY__LOEO-v1-03__FINITE_IP_OR__OP10__SRC-111__core,R05_PRIMARY__LOEO-v1-03__FINITE_IP_OR__OP10__SRC-111__core,LOEO-v1-03,FINITE_IP_OR,OP10,SRC-111,core,LOEO-v1,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,r03-ed1537660ea7caf7e735b3fa,expected_model_units.jsonl#R05_PRIMARY__LOEO-v1-03__FINITE_IP_OR__OP10__SRC-111__core,53001f6db1116d9edc3d72c84ccddf9324e6ca9ad5fab0ae57d017e772f7b27e,OPTIMAL_FINITE_POOL,FITTED,45,30,0.1,3,0,"{""attack"": 1.0, ""clean_post"": 1.0, ""clean_pre"": 1.0}",2,12,1,True,HiGHS,0.6566666666666666,0.0,0.02730225003324449,"[""DEVIATION:OFFDER-UA-001:POSITIVE""]",ARITHMETIC_OVER_SAVED_TRAIN_STATES_NO_INFERENCE
R05_PRIMARY__LOEO-v1-03__GREEDY_OR__OP00__SRC-111__core,R05_PRIMARY__LOEO-v1-03__GREEDY_OR__OP00__SRC-111__core,LOEO-v1-03,GREEDY_OR,OP00,SRC-111,core,LOEO-v1,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,r03-1ed19a4fdd68f503476ba00f,expected_model_units.jsonl#R05_PRIMARY__LOEO-v1-03__GREEDY_OR__OP00__SRC-111__core,53001f6db1116d9edc3d72c84ccddf9324e6ca9ad5fab0ae57d017e772f7b27e,HEURISTIC_FEASIBLE,FITTED,45,30,0.0,0,0,"{""attack"": 1.0, ""clean_post"": 1.0, ""clean_pre"": 1.0}",2,12,1,True,R03_DETERMINISTIC_GREEDY_V1,,,0.006047833012416959,"[""DEVIATION:OFFDER-UA-001:POSITIVE""]",ARITHMETIC_OVER_SAVED_TRAIN_STATES_NO_INFERENCE
R05_PRIMARY__LOEO-v1-03__GREEDY_OR__OP10__SRC-111__core,R05_PRIMARY__LOEO-v1-03__GREEDY_OR__OP10__SRC-111__core,LOEO-v1-03,GREEDY_OR,OP10,SRC-111,core,LOEO-v1,4ab418434ea79085746c2761a1314751b7c83a538813ae3872b3d9721a2823d4,r03-3177a0dd3278b5583502f863,expected_model_units.jsonl#R05_PRIMARY__LOEO-v1-03__GREEDY_OR__OP10__SRC-111__core,53001f6db1116d9edc3d72c84ccddf9324e6ca9ad5fab0ae57d017e772f7b27e,HEURISTIC_FEASIBLE,FITTED,45,30,0.1,3,0,"{""attack"": 1.0, ""clean_post"": 1.0, ""clean_pre"": 1.0}",2,12,1,True,R03_DETERMINISTIC_GREEDY_V1,,,0.005959291011095047,"[""DEVIATION:OFFDER-UA-001:POSITIVE""]",ARITHMETIC_OVER_SAVED_TRAIN_STATES_NO_INFERENCE
